Designator,Mid X,Mid Y,Rotation,Layer
BT1,141.0,-69.0,180.0,bottom
C1,178.65,-107.63,90.0,bottom
C10,168.9,-72.445,90.0,bottom
C11,159.36,-74.34,90.0,bottom
C12,161.9,-74.34,90.0,bottom
C13,177.78,-75.41,90.0,bottom
C14,170.84,-77.06,270.0,bottom
C15,172.61,-77.07,270.0,bottom
C16,93.28,-79.46,270.0,bottom
C17,156.75,-123.0,0.0,bottom
C18,164.75,-126.5,270.0,bottom
C19,149.63,-120.61,0.0,bottom
C2,135.0,-77.25,180.0,bottom
C20,149.63,-123.085,0.0,bottom
C21,149.63,-125.56,0.0,bottom
C22,150.29,-136.04,180.0,bottom
C23,153.57,-137.69,180.0,bottom
C3,176.4,-84.41,180.0,bottom
C32,173.93,-127.29,90.0,bottom
C33,184.32,-127.29,90.0,bottom
C34,188.75,-118.39,180.0,bottom
C35,177.25,-122.5,180.0,bottom
C36,157.19,-103.82,0.0,top
C37,127.5,-75.5,90.0,bottom
C38,118.56,-81.31,270.0,top
C39,113.61,-81.08,270.0,top
C4,152.77,-83.86,0.0,bottom
C40,111.62,-81.045,270.0,top
C41,103.58,-83.42,180.0,top
C42,108.33,-84.77,0.0,top
C43,164.5,-120.25,180.0,bottom
C44,164.72,-122.25,180.0,bottom
C45,164.5,-118.25,180.0,bottom
C46,164.72,-116.25,180.0,bottom
C47,124.04,-65.6,270.0,bottom
C48,102.18,-79.445,90.0,bottom
C49,111.27,-87.61,90.0,top
C5,176.4,-96.33,180.0,bottom
C51,172.385,-113.22,0.0,bottom
C52,181.68,-107.67,90.0,bottom
C6,157.26,-102.02,270.0,bottom
C7,158.85,-102.02,270.0,bottom
C8,176.4,-94.73,180.0,bottom
C9,163.76,-72.445,90.0,bottom
D1,159.2875,-138.25,0.0,bottom
D10,161.5,-62.9625,270.0,bottom
D11,153.0,-63.0,270.0,bottom
D12,155.125,-62.9625,270.0,bottom
D13,157.25,-63.0,270.0,bottom
D2,178.0,-126.5,270.0,bottom
D3,130.75,-76.25,180.0,bottom
D4,198.25,-118.75,180.0,bottom
D5,167.25,-126.5,270.0,bottom
D7,131.2325,-72.46,180.0,bottom
FB1,176.15,-75.41,270.0,bottom
FB2,121.86,-80.8,180.0,top
FB3,115.96,-80.34,180.0,top
J1,119.5,-92.35,0.0,top
J2,162.912742,-86.075,0.0,top
J3,119.06,-136.54,0.0,bottom
J4,95.5,-100.0,0.0,bottom
J5,193.5,-100.0,180.0,bottom
J7,169.38,-136.26,0.0,bottom
J8,193.25,-126.37,180.0,bottom
J9,181.21,-136.26,0.0,bottom
L1,150.62,-130.81,270.0,bottom
L2,108.59,-77.24,180.0,top
P1,103.2,-70.55,180.0,bottom
R1,174.31,-77.06,270.0,bottom
R11,156.14,-131.85,270.0,bottom
R12,150.3,-137.68,0.0,bottom
R2,116.36,-69.145,270.0,bottom
R28,157.18,-108.63,180.0,top
R29,143.85,-105.75,0.0,top
R3,103.776667,-79.445,90.0,bottom
R30,143.85,-107.36,0.0,top
R31,157.18,-105.4,180.0,top
R32,157.18,-107.03,180.0,top
R33,143.85,-104.18,180.0,top
R39,124.04,-69.025,270.0,bottom
R4,99.17,-79.445,90.0,bottom
R41,200.21,-128.91,0.0,bottom
R42,200.21,-127.37,0.0,bottom
R44,200.21,-123.82,0.0,bottom
R45,161.5,-66.3875,90.0,bottom
R46,103.57,-85.01,0.0,top
R47,108.31,-86.48,0.0,top
R48,124.75,-87.25,90.0,top
R5,97.56,-79.445,90.0,bottom
R50,183.25,-107.67,270.0,bottom
R51,194.75,-118.75,0.0,bottom
R52,153.0,-66.5,90.0,bottom
R53,155.125,-66.5,90.0,bottom
R54,157.25,-66.5,90.0,bottom
R6,106.97,-79.445,90.0,bottom
R7,105.373333,-79.445,90.0,bottom
R8,94.93,-79.445,90.0,bottom
R9,161.0,-123.0,0.0,bottom
SW1,119.36,-65.75,90.0,bottom
SW2,127.29,-65.75,270.0,bottom
SW3,141.75,-138.25,0.0,bottom
U1,164.39,-89.87,180.0,bottom
U10,170.5,-126.67,270.0,bottom
U11,181.09,-126.67,270.0,bottom
U12,108.55,-81.6625,270.0,top
U2,158.94,-127.09,270.0,bottom
U3,180.51,-115.92,180.0,bottom
U7,150.5,-106.365,0.0,top
U9,157.5,-118.0,180.0,bottom
Y1,166.33,-76.61,180.0,bottom
Y2,160.63,-77.36,0.0,bottom
